scenario_id,ego_id,rule,repairability,model,TV,TC,maneuvers,SAT_time,TC_time,reach_time,total_time
DEU_AachenBendplatz-1_172260_T-2279,10176,R_IN1,bingo,"{'~a', 'b', '~e'}",4,0,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",4.00543212890625e-05,0.059009552001953125,0.04843759536743164,0.1326456069946289
DEU_AachenBendplatz-1_102160_T-2179,10126,R_IN4,bingo,"{'~d', '~n', '~g', '~e', '~h', '~i', '~j', '~k'}",7,0,"[<Maneuver.CONSTANT: 'constant velocity'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.47955322265625e-05,0.13531732559204102,0.05422616004943848,0.21511554718017578
DEU_AachenBendplatz-1_165100_T-5119,10371,R_IN4,bingo,"{'~j', '~d', '~n', '~e', '~f'}",11,0,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.1219253540039062e-05,0.18399739265441895,0.038716793060302734,0.24340415000915527
DEU_AachenBendplatz-1_121080_T-1099,10056,R_IN1,error/failed with 'float' object has no attribute 'dtype',"{'d', '~a', '~e', '~b'}",2,-inf,[],5.221366882324219e-05,0.018213748931884766,0,0.018265962600708008
DEU_AachenBendplatz-1_123940_T-3959,10258,R_IN1,bingo,"{'~a', 'b', '~e'}",4,1,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",3.504753112792969e-05,0.02947092056274414,0.03424549102783203,0.0866236686706543
DEU_AachenBendplatz-1_152840_T-2859,10184,R_IN1,error/failed with 'float' object has no attribute 'dtype',"{'d', '~a', '~e', '~b'}",3,-inf,[<Maneuver.KICKDOWN: 'kick-down'>],4.9114227294921875e-05,0.018269777297973633,0,0.018318891525268555
DEU_AachenBendplatz-1_85160_T-5179,10405,R_IN1,error/failed with 'float' object has no attribute 'dtype',"{'d', '~a', '~e', '~b'}",3,-inf,[<Maneuver.KICKDOWN: 'kick-down'>],5.269050598144531e-05,0.018198251724243164,0,0.01825094223022461
DEU_AachenBendplatz-1_141540_T-1559,10095,R_IN1,bingo,"{'~a', 'b', '~e'}",5,1,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",3.409385681152344e-05,0.05057978630065918,0.027474641799926758,0.11776351928710938
DEU_AachenBendplatz-1_91260_T-1279,10075,R_IN1,bingo,"{'~a', 'b', '~e'}",5,1,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",3.528594970703125e-05,0.0489039421081543,0.040441274642944336,0.13299822807312012
DEU_AachenBendplatz-1_91280_T-1299,10079,R_IN1,bingo,"{'~a', 'b', '~e'}",5,1,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",3.361701965332031e-05,0.05237722396850586,0.03716111183166504,0.11384248733520508
DEU_AachenBendplatz-1_85140_T-5159,10407,R_IN1,bingo,"{'~a', 'b', '~e'}",5,1,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",3.933906555175781e-05,0.050029754638671875,0.03965258598327637,0.11377692222595215
DEU_AachenBendplatz-1_13540_T-559,10040,R_IN1,bingo,"{'~a', 'b'}",5,1,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.6702880859375e-05,0.05088019371032715,0.04347586631774902,0.11693048477172852
DEU_AachenBendplatz-1_154520_T-4539,10285,R_IN1,error/failed with 'float' object has no attribute 'dtype',"{'d', '~a', '~e', '~b'}",4,-inf,[<Maneuver.KICKDOWN: 'kick-down'>],4.8160552978515625e-05,0.029537439346313477,0,0.029585599899291992
DEU_AachenBendplatz-1_93520_T-3539,10208,R_IN1,error/failed with 'float' object has no attribute 'dtype',"{'d', '~a', '~e', '~b'}",6,4,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",7.915496826171875e-05,0.0765535831451416,0.023589611053466797,0.10022234916687012
DEU_AachenBendplatz-1_143020_T-3039,10228,R_IN1,error/failed with 'float' object has no attribute 'dtype',"{'d', '~a', '~e', '~b'}",4,-inf,[<Maneuver.KICKDOWN: 'kick-down'>],4.76837158203125e-05,0.027138948440551758,0,0.02718663215637207
DEU_AachenBendplatz-1_132600_T-2619,10185,R_IN1,bingo,"{'~a', 'b', '~e'}",7,2,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",3.4809112548828125e-05,0.05891561508178711,0.04575920104980469,0.1474158763885498
DEU_AachenBendplatz-1_11500_T-519,10043,R_IN1,error/failed with 'float' object has no attribute 'dtype',"{'d', '~a', '~e', '~b'}",6,-inf,[<Maneuver.KICKDOWN: 'kick-down'>],6.031990051269531e-05,0.03367495536804199,0,0.03373527526855469
DEU_AachenBendplatz-1_124040_T-4059,10264,R_IN1,error/failed with 'float' object has no attribute 'dtype',"{'d', '~a', '~e', '~b'}",6,-inf,[<Maneuver.KICKDOWN: 'kick-down'>],9.1552734375e-05,0.032532453536987305,0,0.032624006271362305
DEU_AachenBendplatz-1_113780_T-3799,10256,R_IN1,error/failed with 'float' object has no attribute 'dtype',"{'d', '~a', '~e', '~b'}",7,-inf,[<Maneuver.KICKDOWN: 'kick-down'>],5.0067901611328125e-05,0.03144192695617676,0,0.031491994857788086
DEU_AachenBendplatz-1_16700_T-719,10046,R_IN4,initialization fails with x and/or y coordinate outside of projection domain,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_122140_T-2159,10119,R_IN4,bingo,"{'~j', '~d', '~n', '~e', '~f'}",9,2,[<Maneuver.BRAKE: 'brake'>],2.6941299438476562e-05,0.08124947547912598,0.040235042572021484,0.14132976531982422
DEU_AachenBendplatz-1_172740_T-2759,10202,R_IN4,bingo,"{'~n', '~j', '~i'}",4,2,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",0.0001575946807861328,0.7717809677124023,0.36345934867858887,1.293591022491455
DEU_AachenBendplatz-1_1240_T-59,10007,R_IN1,error/failed with 'float' object has no attribute 'dtype',"{'d', '~a', '~e', '~b'}",4,-inf,[<Maneuver.KICKDOWN: 'kick-down'>],7.05718994140625e-05,0.06519293785095215,0,0.06526350975036621
DEU_AachenBendplatz-1_103440_T-3459,10202,R_IN1,error/failed with 'float' object has no attribute 'dtype',"{'d', '~a', '~e', '~b'}",5,-inf,[],5.698204040527344e-05,0.028255462646484375,0,0.02831244468688965
DEU_AachenBendplatz-1_71760_T-1779,10074,R_IN1,error/failed with 'float' object has no attribute 'dtype',"{'d', '~a', '~e', '~b'}",4,-inf,[<Maneuver.KICKDOWN: 'kick-down'>],5.078315734863281e-05,0.027684450149536133,0,0.027735233306884766
DEU_AachenBendplatz-1_73920_T-3939,10153,R_IN1,bingo,"{'~a', 'b', '~e'}",6,3,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",3.719329833984375e-05,0.07344341278076172,0.03740954399108887,0.13172507286071777
DEU_AachenBendplatz-1_161380_T-1399,10106,R_IN1,bingo,"{'~a', 'b', '~e'}",4,3,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",3.5762786865234375e-05,0.03595447540283203,0.051290035247802734,0.10535335540771484
DEU_AachenBendplatz-1_10700_T-719,10051,R_IN1,bingo,"{'~a', 'b', '~e'}",7,4,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",4.6253204345703125e-05,0.09779119491577148,0.030701875686645508,0.1566312313079834
DEU_AachenBendplatz-1_83540_T-3559,10269,R_IN1,error/failed with 'float' object has no attribute 'dtype',"{'d', '~a', '~e', '~b'}",11,-inf,[<Maneuver.KICKDOWN: 'kick-down'>],5.8650970458984375e-05,0.041031837463378906,0,0.04109048843383789
DEU_AachenBendplatz-1_113760_T-3779,10254,R_IN1,bingo,"{'~a', 'b', '~e'}",7,3,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",4.1484832763671875e-05,0.06160306930541992,0.041330814361572266,0.12429356575012207
DEU_AachenBendplatz-1_152840_T-2859,10184,R_IN4,bingo,"{'~j', '~d', '~n', '~e', '~f'}",6,3,[<Maneuver.BRAKE: 'brake'>],2.6702880859375e-05,0.07405996322631836,0.04439496994018555,0.13867616653442383
DEU_AachenBendplatz-1_93760_T-3779,10229,R_IN1,error/failed with 'float' object has no attribute 'dtype',"{'d', '~a', '~e', '~b'}",5,-inf,[<Maneuver.KICKDOWN: 'kick-down'>],0.0004520416259765625,0.2186112403869629,0,0.21906328201293945
DEU_AachenBendplatz-1_15220_T-239,10018,R_IN1,initial feasibility
DEU_AachenBendplatz-1_141960_T-1979,10140,R_IN1,error/failed with 'float' object has no attribute 'dtype',"{'d', '~a', '~e', '~b'}",8,6,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",6.723403930664062e-05,0.06082487106323242,0.02371668815612793,0.08460879325866699
DEU_AachenBendplatz-1_81000_T-1019,10078,R_IN1,bingo,"{'~a', 'b', '~e'}",8,4,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",0.0002205371856689453,0.06399822235107422,0.033156633377075195,0.11673808097839355
DEU_AachenBendplatz-1_113840_T-3859,10258,R_IN1,initial feasibility
DEU_AachenBendplatz-1_122260_T-2279,10128,R_IN1,bingo,"{'~a', 'b', '~e'}",10,4,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",4.220008850097656e-05,0.06493473052978516,0.03656768798828125,0.1205902099609375
DEU_AachenBendplatz-1_163720_T-3739,10270,R_IN1,bingo,"{'~a', 'b'}",8,5,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.5510787963867188e-05,0.09789824485778809,0.029944658279418945,0.17162704467773438
DEU_AachenBendplatz-1_13840_T-859,10063,R_IN1,bingo,"{'~a', 'b', '~e'}",8,5,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",3.743171691894531e-05,0.06257915496826172,0.028663158416748047,0.10995817184448242
DEU_AachenBendplatz-1_81940_T-1959,10157,R_IN1,bingo,"{'~a', 'b', '~e'}",7,4,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",3.62396240234375e-05,0.053975582122802734,0.03720664978027344,0.1121988296508789
DEU_AachenBendplatz-1_163680_T-3699,10267,R_IN4,"initialization fails with CUDA out of memory. Tried to allocate 20.00 MiB. GPU 0 has a total capacity of 39.38 GiB of which 206.25 MiB is free. Process 2131618 has 1.24 GiB memory in use. Process 465571 has 514.00 MiB memory in use. Including non-PyTorch memory, this process has 37.41 GiB memory in use. Of the allocated memory 35.22 GiB is allocated by PyTorch, and 1.66 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenFrankenburg-1_225620_T-5639,10507,R_IN4,"initialization fails with CUDA out of memory. Tried to allocate 20.00 MiB. GPU 0 has a total capacity of 39.38 GiB of which 206.25 MiB is free. Process 2131618 has 1.24 GiB memory in use. Process 465571 has 514.00 MiB memory in use. Including non-PyTorch memory, this process has 37.41 GiB memory in use. Of the allocated memory 35.22 GiB is allocated by PyTorch, and 1.66 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_171180_T-1199,10090,R_IN1,bingo,"{'~a', 'b'}",8,5,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",3.170967102050781e-05,0.05356907844543457,0.03786611557006836,0.10943961143493652
DEU_AachenBendplatz-1_171380_T-1399,10107,R_IN1,bingo,"{'~a', 'b', '~e'}",8,5,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",4.220008850097656e-05,0.05723071098327637,0.032624006271362305,0.1066591739654541
DEU_AachenBendplatz-1_14360_T-379,10028,R_IN1,bingo,"{'~a', 'b', '~e'}",9,5,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",4.172325134277344e-05,0.06998229026794434,0.04406428337097168,0.15259265899658203
DEU_AachenBendplatz-1_132180_T-2199,10158,R_IN1,bingo,"{'~a', 'b', '~e'}",9,6,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",6.127357482910156e-05,0.07094645500183105,0.04277992248535156,0.18267822265625
DEU_AachenBendplatz-1_151880_T-1899,10123,R_IN4,"initialization fails with CUDA out of memory. Tried to allocate 1.68 GiB. GPU 0 has a total capacity of 39.38 GiB of which 1.79 GiB is free. Process 2131618 has 1.24 GiB memory in use. Process 465571 has 514.00 MiB memory in use. Including non-PyTorch memory, this process has 35.83 GiB memory in use. Of the allocated memory 33.62 GiB is allocated by PyTorch, and 1.68 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_162280_T-2299,10179,R_IN4,"initialization fails with CUDA out of memory. Tried to allocate 1.68 GiB. GPU 0 has a total capacity of 39.38 GiB of which 1.79 GiB is free. Process 2131618 has 1.24 GiB memory in use. Process 465571 has 514.00 MiB memory in use. Including non-PyTorch memory, this process has 35.83 GiB memory in use. Of the allocated memory 33.62 GiB is allocated by PyTorch, and 1.68 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_141640_T-1659,10098,R_IN4,initialization fails with x and/or y coordinate outside of projection domain,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_134380_T-4399,10309,R_IN1,error/failed with 'float' object has no attribute 'dtype',"{'d', '~a', '~e', '~b'}",10,8,[],5.1975250244140625e-05,0.030735015869140625,0.02123737335205078,0.05202436447143555
DEU_AachenBendplatz-1_125580_T-5599,10402,R_IN1,bingo,"{'~a', 'b', '~e'}",10,6,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",3.528594970703125e-05,0.0724186897277832,0.03768134117126465,0.13083457946777344
DEU_AachenBendplatz-1_101260_T-1279,10083,R_IN4,"initialization fails with CUDA out of memory. Tried to allocate 1.68 GiB. GPU 0 has a total capacity of 39.38 GiB of which 1.72 GiB is free. Process 2131618 has 1.24 GiB memory in use. Process 465571 has 514.00 MiB memory in use. Including non-PyTorch memory, this process has 35.90 GiB memory in use. Of the allocated memory 33.69 GiB is allocated by PyTorch, and 1.68 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_102320_T-2339,10147,R_IN1,error/failed with 'float' object has no attribute 'dtype',"{'d', '~a', '~e', '~b'}",11,9,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",5.340576171875e-05,0.05893659591674805,0.02468562126159668,0.08367562294006348
DEU_AachenBendplatz-1_102160_T-2179,10130,R_IN1,bingo,"{'~a', 'b'}",11,8,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",2.9087066650390625e-05,0.06847095489501953,0.04385519027709961,0.12692475318908691
DEU_AachenBendplatz-1_144920_T-4939,10367,R_IN1,error/failed with 'float' object has no attribute 'dtype',"{'d', '~a', '~e', '~b'}",8,-inf,[],6.0558319091796875e-05,0.06043124198913574,0,0.06049180030822754
DEU_AachenBendplatz-1_83420_T-3439,10262,R_IN1,error/failed with 'float' object has no attribute 'dtype',"{'d', '~a', '~e', '~b'}",11,9,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",5.984306335449219e-05,0.05906271934509277,0.023736000061035156,0.08285856246948242
DEU_AachenBendplatz-1_124320_T-4339,10290,R_IN1,bingo,"{'~a', 'b', '~e'}",10,5,[<Maneuver.KICKDOWN: 'kick-down'>],4.887580871582031e-05,0.06347823143005371,0.0598139762878418,0.16730403900146484
DEU_AachenBendplatz-1_132580_T-2599,10183,R_IN1,bingo,"{'~a', 'b', '~e'}",11,5,[<Maneuver.KICKDOWN: 'kick-down'>],0.00028228759765625,0.3118305206298828,0.3171651363372803,0.8469762802124023
DEU_AachenBendplatz-1_71480_T-1499,10069,R_IN1,bingo,"{'~a', 'b', '~e'}",11,8,[<Maneuver.KICKDOWN: 'kick-down'>],3.743171691894531e-05,0.041589975357055664,0.02751612663269043,0.08510255813598633
DEU_AachenBendplatz-1_143920_T-3939,10304,R_IN1,error/failed with 'float' object has no attribute 'dtype',"{'d', '~a', '~e', '~b'}",12,10,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",5.745887756347656e-05,0.05862784385681152,0.02118968963623047,0.07987499237060547
DEU_AachenBendplatz-1_83340_T-3359,10255,R_IN1,bingo,"{'~a', 'b', '~e'}",12,9,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",3.504753112792969e-05,0.0569150447845459,0.06518363952636719,0.13668537139892578
DEU_AachenBendplatz-1_143100_T-3119,10232,R_IN1,bingo,"{'~a', 'b', '~e'}",11,8,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",4.172325134277344e-05,0.06064176559448242,0.056069135665893555,0.13181066513061523
DEU_AachenBendplatz-1_162040_T-2059,10162,R_IN1,error/failed with 'float' object has no attribute 'dtype',"{'d', '~a', '~e', '~b'}",11,9,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",5.3882598876953125e-05,0.07103872299194336,0.021965980529785156,0.09305858612060547
DEU_AachenBendplatz-1_123880_T-3899,10251,R_IN1,bingo,"{'~a', 'b', '~e'}",13,8,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",0.0002651214599609375,0.5156731605529785,0.22907280921936035,0.8614611625671387
DEU_AachenBendplatz-1_132020_T-2039,10150,R_IN1,bingo,"{'~a', 'b', '~e'}",12,8,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",0.0003058910369873047,0.5018024444580078,0.2054426670074463,0.8768479824066162
DEU_AachenBendplatz-1_154860_T-4879,10303,R_IN1,bingo,"{'~a', 'b', '~e'}",12,9,[<Maneuver.KICKDOWN: 'kick-down'>],0.00028014183044433594,0.3461594581604004,0.2578911781311035,0.7513597011566162
DEU_AachenBendplatz-1_7120_T-139,10017,R_IN1,bingo,"{'~a', 'b', '~e'}",13,8,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",4.38690185546875e-05,0.07015299797058105,0.042246341705322266,0.15465140342712402
DEU_AachenFrankenburg-1_265260_T-5279,10453,R_IN4,"initialization fails with CUDA out of memory. Tried to allocate 1.68 GiB. GPU 0 has a total capacity of 39.38 GiB of which 1.16 GiB is free. Process 2131618 has 1.24 GiB memory in use. Process 465571 has 514.00 MiB memory in use. Including non-PyTorch memory, this process has 36.46 GiB memory in use. Of the allocated memory 34.20 GiB is allocated by PyTorch, and 1.73 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",N/A,N/A,N/A,N/A,N/A,N/A,N/A
DEU_AachenBendplatz-1_143560_T-3579,10274,R_IN1,bingo,"{'~a', 'b', '~e'}",12,8,[<Maneuver.KICKDOWN: 'kick-down'>],4.00543212890625e-05,0.03022456169128418,0.03218340873718262,0.07941937446594238
DEU_AachenBendplatz-1_122380_T-2399,10146,R_IN1,bingo,"{'~a', 'b', '~e'}",14,9,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",3.4809112548828125e-05,0.06943178176879883,0.033056020736694336,0.11561799049377441
DEU_AachenBendplatz-1_125560_T-5579,10400,R_IN1,bingo,"{'~a', 'b', '~e'}",13,6,[<Maneuver.KICKDOWN: 'kick-down'>],4.1484832763671875e-05,0.04175853729248047,0.041544437408447266,0.10262870788574219
DEU_AachenBendplatz-1_161440_T-1459,10124,R_IN1,bingo,"{'~a', 'b', '~e'}",10,9,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",4.0531158447265625e-05,0.054692983627319336,0.02814459800720215,0.11619043350219727
DEU_AachenBendplatz-1_81800_T-1819,10144,R_IN1,bingo,"{'~a', 'b', '~e'}",14,9,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",4.3392181396484375e-05,0.07107734680175781,0.02715897560119629,0.11191248893737793
DEU_AachenBendplatz-1_124500_T-4519,10305,R_IN1,bingo,"{'~a', 'b', '~e'}",13,9,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",3.7670135498046875e-05,0.06994223594665527,0.03140687942504883,0.11538553237915039
DEU_AachenBendplatz-1_82520_T-2539,10192,R_IN1,bingo,"{'~a', 'b', '~e'}",14,11,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",7.271766662597656e-05,0.0656592845916748,0.028273344039916992,0.10493326187133789
DEU_AachenBendplatz-1_13520_T-539,10031,R_IN1,bingo,"{'~a', 'b', '~e'}",13,10,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",4.315376281738281e-05,0.056462764739990234,0.029456377029418945,0.0984339714050293
DEU_AachenBendplatz-1_155340_T-5359,10343,R_IN1,bingo,"{'~a', 'b', '~e'}",14,10,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",4.5299530029296875e-05,0.06823468208312988,0.026818037033081055,0.1265239715576172
DEU_AachenBendplatz-1_151140_T-1159,10087,R_IN1,bingo,"{'~a', 'b', '~e'}",12,11,[<Maneuver.KICKDOWN: 'kick-down'>],3.4809112548828125e-05,0.02731776237487793,0.03103160858154297,0.06991219520568848
DEU_AachenBendplatz-1_154820_T-4839,10300,R_IN1,error/failed with 'float' object has no attribute 'dtype',"{'d', '~a', '~e', '~b'}",13,12,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",5.602836608886719e-05,0.05326199531555176,0.021363019943237305,0.07468104362487793
DEU_AachenBendplatz-1_121020_T-1039,10053,R_IN1,bingo,"{'~a', 'b', '~e'}",13,11,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",4.1961669921875e-05,0.05516529083251953,0.022894859313964844,0.08876228332519531
DEU_AachenBendplatz-1_82760_T-2779,10212,R_IN1,bingo,"{'~a', 'b'}",14,8,[<Maneuver.KICKDOWN: 'kick-down'>],3.170967102050781e-05,0.039632320404052734,0.0343174934387207,0.09241914749145508
DEU_AachenBendplatz-1_84320_T-4339,10334,R_IN1,bingo,"{'~a', 'b', '~e'}",13,12,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",3.552436828613281e-05,0.033193111419677734,0.02443718910217285,0.06844210624694824
DEU_AachenBendplatz-1_142480_T-2499,10180,R_IN1,bingo,"{'~a', 'b', '~e'}",16,12,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",4.673004150390625e-05,0.06481266021728516,0.0390169620513916,0.11461019515991211
DEU_AachenBendplatz-1_84580_T-4599,10361,R_IN1,bingo,"{'~a', 'b', '~e'}",14,13,"[<Maneuver.BRAKE: 'brake'>, <Maneuver.KICKDOWN: 'kick-down'>]",0.0002682209014892578,0.2373054027557373,0.16273188591003418,0.4868297576904297
